Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
270,256,0.98438,0.24754,0.26953,0.26953,0.88650,0.88650
271,256,0.34766,0.08700,0.08594,0.08594,0.95622,0.95622
272,256,1.53516,0.38155,0.40234,0.40234,0.83015,0.83015
273,256,0.33594,0.08431,0.08984,0.08984,0.95980,0.95980
274,256,0.50391,0.12697,0.14062,0.14062,0.94230,0.94230
275,256,1.47266,0.37290,0.37891,0.37891,0.81864,0.81864
276,256,0.27734,0.07023,0.07422,0.07422,0.96761,0.96761
277,256,0.59766,0.14971,0.17188,0.17188,0.94247,0.94247
278,256,0.77344,0.19450,0.21094,0.21094,0.91350,0.91350
279,256,0.25781,0.06452,0.07031,0.07031,0.97318,0.97318
280,256,1.38281,0.34369,0.36328,0.36328,0.83714,0.83714
281,256,0.73047,0.18333,0.21875,0.21875,0.92452,0.92452
282,256,0.40234,0.10138,0.10938,0.10938,0.95463,0.95463
283,256,1.47266,0.37290,0.38281,0.38281,0.82080,0.82080
284,256,0.32422,0.08210,0.08203,0.08203,0.95342,0.95342
285,256,0.69141,0.17319,0.20312,0.20312,0.92891,0.92891
286,256,0.73438,0.18468,0.20703,0.20703,0.91717,0.91717
287,256,0.42969,0.10753,0.10938,0.10938,0.94938,0.94938
288,256,1.32031,0.32816,0.34766,0.34766,0.85344,0.85344
289,256,0.57422,0.14412,0.17578,0.17578,0.94325,0.94325
290,256,0.44141,0.11122,0.12500,0.12500,0.94705,0.94705
291,256,1.48828,0.37685,0.39062,0.39062,0.82470,0.82470
292,256,0.19922,0.05045,0.05469,0.05469,0.97743,0.97743
293,256,0.46094,0.11546,0.13281,0.13281,0.95597,0.95597
294,256,0.82031,0.20629,0.22266,0.22266,0.90026,0.90026
295,256,0.39062,0.09775,0.10156,0.10156,0.96279,0.96279
296,256,1.42969,0.35534,0.37500,0.37500,0.82455,0.82455
297,256,0.43750,0.10980,0.13281,0.13281,0.95076,0.95076
298,256,0.38672,0.09744,0.10547,0.10547,0.95016,0.95016
299,256,1.48828,0.37685,0.38281,0.38281,0.80634,0.80634
300,256,0.44141,0.11177,0.12500,0.12500,0.95557,0.95557
301,256,0.48438,0.12133,0.14844,0.14844,0.95201,0.95201
302,256,0.60938,0.15324,0.15625,0.15625,0.92786,0.92786
303,256,0.41016,0.10264,0.10938,0.10938,0.95472,0.95472
304,256,1.40625,0.34951,0.37109,0.37109,0.83687,0.83687
305,256,0.78906,0.19804,0.23047,0.23047,0.91081,0.91081
306,256,0.41406,0.10433,0.11719,0.11719,0.95631,0.95631
307,256,1.45312,0.36795,0.37109,0.37109,0.82550,0.82550
308,256,0.35156,0.08902,0.09766,0.09766,0.95465,0.95465
309,256,0.53906,0.13503,0.15625,0.15625,0.94381,0.94381
310,256,0.69141,0.17387,0.18359,0.18359,0.91520,0.91520
311,256,0.53906,0.13490,0.13672,0.13672,0.94816,0.94816
312,256,1.51562,0.37670,0.40234,0.40234,0.82976,0.82976
313,256,0.48438,0.12157,0.14062,0.14062,0.94481,0.94481
314,256,0.30078,0.07579,0.08594,0.08594,0.96623,0.96623
315,256,1.43359,0.36301,0.36328,0.36328,0.83255,0.83255
316,256,0.39844,0.10089,0.11719,0.11719,0.95497,0.95497
317,256,0.43750,0.10959,0.12891,0.12891,0.95628,0.95628
318,256,0.97656,0.24558,0.26172,0.26172,0.87201,0.87201
319,256,0.39844,0.09971,0.10547,0.10547,0.94754,0.94754
320,256,1.55078,0.38544,0.41016,0.41016,0.82846,0.82846
321,256,0.31250,0.07843,0.08594,0.08594,0.96030,0.96030
322,256,0.37500,0.09449,0.10938,0.10938,0.95902,0.95902
323,256,1.53516,0.38872,0.39453,0.39453,0.81154,0.81154
324,256,0.37109,0.09397,0.10938,0.10938,0.95589,0.95589
325,256,0.56641,0.14188,0.16406,0.16406,0.93563,0.93563
326,256,0.96484,0.24263,0.28516,0.28516,0.88371,0.88371
